红潮报告编号,报告日期,消退日期,组别,品种,最近水质监测点,经度,纬度,最近水质检测点距离
1975S0001,1975-08-06 00:00:00,1975-08-11 00:00:00,甲藻,夜光藻,MM19,114.295322126862,22.2837019201173,0.03364112136582962
1975S0002,1975-08-07 00:00:00,1975-08-16 00:00:00,甲藻,夜光藻,SM1,114.215130233064,22.2208233250361,0.018381920170185913
1976S0001,1976-03-16 00:00:00,1976-03-18 00:00:00,甲藻,夜光藻,PM7,114.275622863876,22.3249294789134,0.025138398692678327
1977S0001,1977-02-28 00:00:00,1977-03-01 00:00:00,甲藻,夜光藻,PM6,114.272430693211,22.3229383978159,0.028846692596179425
1977S0003,1977-03-15 00:00:00,1977-03-18 00:00:00,甲藻,夜光藻,JM3,114.29418568755,22.2867528191823,0.03357300481990573
1977S0002,1977-03-15 00:00:00,1977-03-16 00:00:00,甲藻,夜光藻,TM3,114.207867381726,22.4537088928599,0.007787467918627369
1977S0004,1977-05-24 00:00:00,1977-05-25 00:00:00,甲藻,,TM3,114.196059274146,22.4459060119568,0.0071646109603814455
1978S0001,1978-04-17 00:00:00,1978-04-19 00:00:00,甲藻,叉角藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1978S0001,1978-04-17 00:00:00,1978-04-19 00:00:00,甲藻,裸甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1979S0001,1979-03-07 00:00:00,1979-03-08 00:00:00,甲藻,扁平原多甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1980S0001,1980-03-18 00:00:00,1980-03-19 00:00:00,甲藻,反曲原甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1980S0002,1980-04-15 00:00:00,1980-04-16 00:00:00,其他藻类,品种不详,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1980S0003,1980-04-18 00:00:00,1980-04-23 00:00:00,甲藻,海洋原甲藻,MM6,114.34756934625,22.4491486453952,0.006845327553706924
1980S0004,1980-04-27 00:00:00,1980-04-28 00:00:00,其他藻类,品种不详,TM8,114.315079460068,22.4817706452354,0.017301463223870144
1980S0005,1980-04-28 00:00:00,1980-04-29 00:00:00,其他藻类,品种不详,PM9,114.318437678424,22.3414288598495,0.01817663247542547
1980S0007,1980-08-26 00:00:00,1980-08-27 00:00:00,其他藻类,红海束毛藻,MM6,114.37082506974,22.4382813246191,0.02710261216835514
1980S0007,1980-08-26 00:00:00,1980-08-27 00:00:00,甲藻,夜光藻,MM6,114.37082506974,22.4382813246191,0.02710261216835514
1980S0006,1980-08-26 00:00:00,1980-08-27 00:00:00,甲藻,裸甲藻,MM6,114.373076961195,22.3989385081385,0.06116865759846357
1980S0008,1980-09-28 00:00:00,1980-10-03 00:00:00,甲藻,米氏凯伦藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
1980S0009,1980-10-18 00:00:00,1980-10-19 00:00:00,甲藻,夜光藻,NM2,113.983962748878,22.3747360284492,0.022872704158119875
1981S0001,1981-01-28 00:00:00,1981-01-29 00:00:00,甲藻,简单裸甲藻,TM4,114.222293363462,22.4436331285727,0.011227633009645669
